Dataset,Method,Mean_Weighted_F1,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
diabetes,SMOTE,0.6853959396616326,0.008443685731449244,,0.1,20
diabetes,RFOversample,0.6769748920372535,0.007718304153555296,,0.1,20
ecoli_5,Unbalanced,0.8547616709503352,0.006294906496213226,,0.1,20
ecoli_5,SMOTE,0.8498136016938567,0.006917968082806585,,0.1,20
ecoli_5,RFOversample,0.8536618829012367,0.00650184915416551,,0.1,20
flare1,Unbalanced,0.7528186707028224,0.007569725390419105,,0.1,20
flare1,SMOTE,0.7437478104750437,0.008251551455291157,,0.1,20
flare1,RFOversample,0.7453048429693213,0.008052168486239955,,0.1,20
glass,Unbalanced,0.7286122722798914,0.014334283046314312,,0.1,20
glass,SMOTE,0.7141067895933484,0.014291721256714338,,0.1,20
glass,RFOversample,0.7255809386634726,0.01554472800420381,,0.1,20
heart_failure,Unbalanced,0.7183017400446383,0.012889913276230736,,0.1,20
heart_failure,SMOTE,0.7677952842459579,0.011482579083189426,,0.1,20
heart_failure,RFOversample,0.7644709557926136,0.012183621257276239,,0.1,20
hepatitis,Unbalanced,0.59759113835232,0.014378029353666687,,0.1,20
hepatitis,SMOTE,0.59943372685395,0.01506857069069855,,0.1,20
hepatitis,RFOversample,0.5987978847112453,0.015394012018525725,,0.1,20
ionosphere,Unbalanced,0.9172924659039599,0.004644190280962215,,0.1,20
ionosphere,SMOTE,0.892762824721989,0.005218213391441143,,0.1,20
ionosphere,RFOversample,0.8932318336414802,0.005374548938885207,,0.1,20
iris,Unbalanced,0.952114197084998,0.0036167901558893504,,0.1,20
iris,SMOTE,0.95547876167523,0.005217395486828265,,0.1,20
iris,RFOversample,0.9532466188180871,0.0046922039493351225,,0.1,20
mnist_test,Unbalanced,0.8165955723827567,0.0020983710374548863,,0.1,20
mnist_test,SMOTE,0.8165955723827567,0.0020983710374548863,,0.1,20
mnist_test,RFOversample,0.8165955723827567,0.0020983710374548863,,0.1,20
optdigits,Unbalanced,0.9195914567591308,0.00213780534318463,,0.1,20
optdigits,SMOTE,0.9195914567591308,0.00213780534318463,,0.1,20
optdigits,RFOversample,0.9195914567591308,0.00213780534318463,,0.1,20
parkinsons,Unbalanced,0.8704279864502891,0.009112290530598111,,0.1,20
parkinsons,SMOTE,0.8680111955098407,0.01044165286701044,,0.1,20
parkinsons,RFOversample,0.8603544100455138,0.008708833328673716,,0.1,20
seeds,Unbalanced,0.893495874635098,0.007950478589687292,,0.1,20
seeds,SMOTE,0.9203709652875867,0.008343788904222502,,0.1,20
seeds,RFOversample,0.9101687700721068,0.007903364114180609,,0.1,20
sonar,Unbalanced,0.581369180996946,0.017124048606522488,,0.1,20
sonar,SMOTE,0.7577430953865781,0.011493625799214514,,0.1,20
sonar,RFOversample,0.7639285343785756,0.010531836161273843,,0.1,20
titanic,Unbalanced,0.7098046867012588,0.011069046570905391,,0.1,20
titanic,SMOTE,0.7414001238825975,0.009240686050486982,,0.1,20
titanic,RFOversample,0.7261913950060295,0.01064853903619417,,0.1,20
treeData,Unbalanced,0.9216238365226239,0.0026775961954610492,,0.1,20
treeData,SMOTE,0.9216238365226239,0.0026775961954610492,,0.1,20
treeData,RFOversample,0.9216238365226239,0.0026775961954610492,,0.1,20
waveform,Unbalanced,0.6333184457474996,0.007029167535181766,,0.1,20
waveform,SMOTE,0.754934959647381,0.006488497910063631,,0.1,20
waveform,RFOversample,0.7536602416702687,0.006411252402872626,,0.1,20
wine,Unbalanced,0.9786414338879498,0.005130362053002495,,0.1,20
wine,SMOTE,0.9792797310729275,0.006252159495609358,,0.1,20
wine,RFOversample,0.9773844742994052,0.0060765566612648305,,0.1,20
